ID	CDC1551.1.halflife	CDC1551.2.halflife	Comp.1.halflife	Comp.2.halflife
sp|O15145|ARPC3_HUMANActin-relatedprotein2/3complexsubunit3OS=HomosapiensGN=ARPC3PE=1SV=3;tr|F8VR50|F8VR50_HUMANActin-relatedprotein2/3complexsubunit3(Fragment)OS=HomosapiensGN=ARPC3PE=1SV=1;tr|C9JZD1|C9JZD1_HUMANActin-relatedprotein2/3complexsubunit3(Fragment)OS=HomosapiensGN=ARPC3PE=1SV=1	39.74931741	39.96940921	39.90305422	40.98605793
sp|O15371|EIF3D_HUMANEukaryotictranslationinitiationfactor3subunitDOS=HomosapiensGN=EIF3DPE=1SV=1;tr|B0QYA5|B0QYA5_HUMANEukaryotictranslationinitiationfactor3subunitD(Fragment)OS=HomosapiensGN=EIF3DPE=1SV=1;tr|B0QYA6|B0QYA6_HUMANEukaryotictranslationinitiationfactor3subunitD(Fragment)OS=HomosapiensGN=EIF3DPE=1SV=1;tr|B0QYA4|B0QYA4_HUMANEukaryotictranslationinitiationfactor3subunitD(Fragment)OS=HomosapiensGN=EIF3DPE=1SV=2;tr|B0QYA8|B0QYA8_HUMANEukaryotictranslationinitiationfactor3subunitD(Fragment)OS=HomosapiensGN=EIF3DPE=1SV=1	27.43564537	28.89817564	32.27372263	30.66324774
sp|O15427|MOT4_HUMANMonocarboxylatetransporter4OS=HomosapiensGN=SLC16A3PE=1SV=1;tr|J3QQV2|J3QQV2_HUMANMonocarboxylatetransporter4(Fragment)OS=HomosapiensGN=SLC16A3PE=1SV=8;tr|J3QSC3|J3QSC3_HUMANMonocarboxylatetransporter4(Fragment)OS=HomosapiensGN=SLC16A3PE=1SV=1;tr|J3KTI8|J3KTI8_HUMANMonocarboxylatetransporter4(Fragment)OS=HomosapiensGN=SLC16A3PE=1SV=1;tr|J3QQS9|J3QQS9_HUMANMonocarboxylatetransporter4(Fragment)OS=HomosapiensGN=SLC16A3PE=1SV=1;tr|J3KT83|J3KT83_HUMANMonocarboxylatetransporter4(Fragment)OS=HomosapiensGN=SLC16A3PE=1SV=1;tr|J3QRA0|J3QRA0_HUMANMonocarboxylatetransporter4(Fragment)OS=HomosapiensGN=SLC16A3PE=1SV=1;tr|J3QRP8|J3QRP8_HUMANMonocarboxylatetransporter4(Fragment)OS=HomosapiensGN=SLC16A3PE=1SV=8;tr|J3QLE3|J3QLE3_HUMANMonocarboxylatetransporter4(Fragment)OS=HomosapiensGN=SLC16A3PE=1SV=1;tr|J3KTM6|J3KTM6_HUMANMonocarboxylatetransporter4(Fragment)OS=HomosapiensGN=SLC16A3PE=1SV=1;tr|J3QRU2|J3QRU2_HUMANMonocarboxylatetransporter4(Fragment)OS=HomosapiensGN=SLC16A3PE=1SV=1	25.17222235	25.87564861	30.03710294	29.2533354
sp|O15511|ARPC5_HUMANActin-relatedprotein2/3complexsubunit5OS=HomosapiensGN=ARPC5PE=1SV=3;tr|B1ALC0|B1ALC0_HUMANActin-relatedprotein2/3complexsubunit5OS=HomosapiensGN=ARPC5PE=1SV=1	39.37441125	39.07233484	37.83357377	36.50543713
sp|O43312|MTSS1_HUMANMetastasissuppressorprotein1OS=HomosapiensGN=MTSS1PE=1SV=2;tr|H0YB53|H0YB53_HUMANMetastasissuppressorprotein1(Fragment)OS=HomosapiensGN=MTSS1PE=1SV=1;tr|E7EWW5|E7EWW5_HUMANMetastasissuppressorprotein1OS=HomosapiensGN=MTSS1PE=1SV=1;tr|H0YAZ8|H0YAZ8_HUMANMetastasissuppressorprotein1(Fragment)OS=HomosapiensGN=MTSS1PE=1SV=1;tr|H0YBL3|H0YBL3_HUMANMetastasissuppressorprotein1(Fragment)OS=HomosapiensGN=MTSS1PE=1SV=1;tr|E5RJX3|E5RJX3_HUMANMetastasissuppressorprotein1(Fragment)OS=HomosapiensGN=MTSS1PE=1SV=1	20.56202062	19.50944586	26.19547162	22.21594722
sp|O43396|TXNL1_HUMANThioredoxin-likeprotein1OS=HomosapiensGN=TXNL1PE=1SV=3;tr|K7ER96|K7ER96_HUMANThioredoxin-likeprotein1(Fragment)OS=HomosapiensGN=TXNL1PE=1SV=1;tr|K7EML9|K7EML9_HUMANThioredoxin-likeprotein1(Fragment)OS=HomosapiensGN=TXNL1PE=1SV=1;tr|K7EKG2|K7EKG2_HUMANThioredoxin-likeprotein1(Fragment)OS=HomosapiensGN=TXNL1PE=1SV=1;tr|K7EPB7|K7EPB7_HUMANThioredoxin-likeprotein1OS=HomosapiensGN=TXNL1PE=1SV=1;tr|K7EME7|K7EME7_HUMANThioredoxin-likeprotein1(Fragment)OS=HomosapiensGN=TXNL1PE=1SV=1	31.00312223	35.1826801	34.87107766	36.40918381
sp|O43707|ACTN4_HUMANAlpha-actinin-4OS=HomosapiensGN=ACTN4PE=1SV=2;tr|F5GXS2|F5GXS2_HUMANAlpha-actinin-4OS=HomosapiensGN=ACTN4PE=1SV=2;tr|H7C144|H7C144_HUMANAlpha-actinin-4(Fragment)OS=HomosapiensGN=ACTN4PE=1SV=1;tr|K7EJH8|K7EJH8_HUMANAlpha-actinin-4(Fragment)OS=HomosapiensGN=ACTN4PE=1SV=1;tr|K7EP19|K7EP19_HUMANAlpha-actinin-4(Fragment)OS=HomosapiensGN=ACTN4PE=1SV=1	44.80552476	45.3384885	42.55305889	43.01725607
sp|O43747|AP1G1_HUMANAP-1complexsubunitgamma-1OS=HomosapiensGN=AP1G1PE=1SV=5;tr|H3BNR4|H3BNR4_HUMANAP-1complexsubunitgamma-1OS=HomosapiensGN=AP1G1PE=1SV=1;tr|H3BR36|H3BR36_HUMANAP-1complexsubunitgamma-1(Fragment)OS=HomosapiensGN=AP1G1PE=1SV=1;tr|H3BUN9|H3BUN9_HUMANAP-1complexsubunitgamma-1OS=HomosapiensGN=AP1G1PE=1SV=1;tr|B3KNW1|B3KNW1_HUMANAP-1complexsubunitgamma-1OS=HomosapiensGN=AP1G1PE=1SV=1	38.93990823	40.55025289	42.78888856	39.71759834
sp|O43776|SYNC_HUMANAsparagine--tRNAligase,cytoplasmicOS=HomosapiensGN=NARSPE=1SV=1;tr|K7EIU7|K7EIU7_HUMANAsparagine--tRNAligase,cytoplasmic(Fragment)OS=HomosapiensGN=NARSPE=1SV=1;tr|K7EPK2|K7EPK2_HUMANAsparagine--tRNAligase,cytoplasmic(Fragment)OS=HomosapiensGN=NARSPE=1SV=1;tr|K7EQ35|K7EQ35_HUMANAsparagine--tRNAligase,cytoplasmic(Fragment)OS=HomosapiensGN=NARSPE=1SV=1;tr|K7EMQ6|K7EMQ6_HUMANAsparagine--tRNAligase,cytoplasmic(Fragment)OS=HomosapiensGN=NARSPE=1SV=1;tr|K7EJ19|K7EJ19_HUMANAsparagine--tRNAligase,cytoplasmicOS=HomosapiensGN=NARSPE=1SV=1	39.71133628	42.59011074	44.25426299	43.43639497
sp|O60234|GMFG_HUMANGliamaturationfactorgammaOS=HomosapiensGN=GMFGPE=1SV=1;tr|M0QYJ8|M0QYJ8_HUMANGliamaturationfactorgammaOS=HomosapiensGN=GMFGPE=1SV=1;tr|M0R0C1|M0R0C1_HUMANGliamaturationfactorgammaOS=HomosapiensGN=GMFGPE=1SV=1;tr|M0QX47|M0QX47_HUMANGliamaturationfactorgammaOS=HomosapiensGN=GMFGPE=1SV=1;tr|M0QXC2|M0QXC2_HUMANGliamaturationfactorgammaOS=HomosapiensGN=GMFGPE=1SV=1;tr|M0QYG8|M0QYG8_HUMANGliamaturationfactorgammaOS=HomosapiensGN=GMFGPE=1SV=1;tr|M0R1D2|M0R1D2_HUMANGliamaturationfactorgammaOS=HomosapiensGN=GMFGPE=1SV=1;tr|M0QXZ6|M0QXZ6_HUMANGliamaturationfactorgamma(Fragment)OS=HomosapiensGN=GMFGPE=1SV=1;tr|M0R2P2|M0R2P2_HUMANGliamaturationfactorgammaOS=HomosapiensGN=GMFGPE=1SV=1	40.73260902	43.61994681	38.8279357	36.32709121
sp|O60488|ACSL4_HUMANLong-chain-fatty-acid--CoAligase4OS=HomosapiensGN=ACSL4PE=1SV=2;tr|H0Y9A0|H0Y9A0_HUMANLong-chain-fatty-acid--CoAligase4(Fragment)OS=HomosapiensGN=ACSL4PE=1SV=1	16.04713437	17.89514044	19.74570837	22.07981717
sp|O60493|SNX3_HUMANSortingnexin-3OS=HomosapiensGN=SNX3PE=1SV=3	15.83062517	16.26621916	16.19133364	15.64436253
sp|O60506|HNRPQ_HUMANHeterogeneousnuclearribonucleoproteinQOS=HomosapiensGN=SYNCRIPPE=1SV=2;tr|F6UXX1|F6UXX1_HUMANHeterogeneousnuclearribonucleoproteinQ(Fragment)OS=HomosapiensGN=SYNCRIPPE=1SV=1	50.62862212	51.38958233	51.82410103	52.36849819
sp|O60664|PLIN3_HUMANPerilipin-3OS=HomosapiensGN=PLIN3PE=1SV=3;tr|K7ERZ3|K7ERZ3_HUMANPerilipin-3(Fragment)OS=HomosapiensGN=PLIN3PE=1SV=1;tr|K7EL96|K7EL96_HUMANPerilipin-3(Fragment)OS=HomosapiensGN=PLIN3PE=1SV=8;tr|K7ER39|K7ER39_HUMANPerilipin-3(Fragment)OS=HomosapiensGN=PLIN3PE=1SV=1	62.46020496	63.63941416	48.51230382	55.21620969
sp|O60763|USO1_HUMANGeneralvesiculartransportfactorp115OS=HomosapiensGN=USO1PE=1SV=2;REV__tr|R4GMN2|R4GMN2_HUMANDENNdomain-containingprotein4C(Fragment)OS=HomosapiensGN=DENND4CPE=1SV=1;REV__sp|Q5VZ89|DEN4C_HUMANDENNdomain-containingprotein4COS=HomosapiensGN=DENND4CPE=1SV=2;REV__tr|R4GNB2|R4GNB2_HUMANDENNdomain-containingprotein4COS=HomosapiensGN=DENND4CPE=1SV=1;REV__tr|R4GN35|R4GN35_HUMANDENNdomain-containingprotein4COS=HomosapiensGN=DENND4CPE=1SV=1	59.96224663	62.4196961	67.63630802	64.57720702
sp|O60869|EDF1_HUMANEndothelialdifferentiation-relatedfactor1OS=HomosapiensGN=EDF1PE=1SV=1	12.16585	10.89298904	12.94094805	14.50414112
sp|O75083|WDR1_HUMANWDrepeat-containingprotein1OS=HomosapiensGN=WDR1PE=1SV=4;tr|D6RD66|D6RD66_HUMANWDrepeat-containingprotein1(Fragment)OS=HomosapiensGN=WDR1PE=1SV=1	55.25945834	53.30542003	52.99503101	53.32570867
sp|O75131|CPNE3_HUMANCopine-3OS=HomosapiensGN=CPNE3PE=1SV=1;tr|H0YB26|H0YB26_HUMANCopine-3(Fragment)OS=HomosapiensGN=CPNE3PE=1SV=1;tr|E5RHZ0|E5RHZ0_HUMANCopine-3(Fragment)OS=HomosapiensGN=CPNE3PE=1SV=1;tr|A0A087WYQ3|A0A087WYQ3_HUMANCopine-3(Fragment)OS=HomosapiensGN=CPNE3PE=1SV=1;tr|E7ENV7|E7ENV7_HUMANCopine-8OS=HomosapiensGN=CPNE8PE=1SV=2;sp|Q8IYJ1|CPNE9_HUMANCopine-9OS=HomosapiensGN=CPNE9PE=1SV=3;sp|Q96A23|CPNE4_HUMANCopine-4OS=HomosapiensGN=CPNE4PE=1SV=1;sp|O95741|CPNE6_HUMANCopine-6OS=HomosapiensGN=CPNE6PE=1SV=3;sp|Q86YQ8|CPNE8_HUMANCopine-8OS=HomosapiensGN=CPNE8PE=1SV=2;sp|Q9HCH3|CPNE5_HUMANCopine-5OS=HomosapiensGN=CPNE5PE=1SV=2;sp|Q9UBL6|CPNE7_HUMANCopine-7OS=HomosapiensGN=CPNE7PE=1SV=1	24.5434148	26.29154762	23.91372427	24.52053488
sp|O75396|SC22B_HUMANVesicle-traffickingproteinSEC22bOS=HomosapiensGN=SEC22BPE=1SV=4;tr|A0A087X1A9|A0A087X1A9_HUMANVesicle-traffickingproteinSEC22b(Fragment)OS=HomosapiensGN=SEC22BPE=1SV=1	43.86470473	48.10128945	46.96271466	48.17876015
sp|O75533|SF3B1_HUMANSplicingfactor3Bsubunit1OS=HomosapiensGN=SF3B1PE=1SV=3;tr|H7C341|H7C341_HUMANSplicingfactor3Bsubunit1(Fragment)OS=HomosapiensGN=SF3B1PE=1SV=1	23.93255526	24.28614348	23.45270695	20.40758543
sp|O75821|EIF3G_HUMANEukaryotictranslationinitiationfactor3subunitGOS=HomosapiensGN=EIF3GPE=1SV=2;tr|K7EP16|K7EP16_HUMANEukaryotictranslationinitiationfactor3subunitG(Fragment)OS=HomosapiensGN=EIF3GPE=1SV=1;tr|K7ENA8|K7ENA8_HUMANEukaryotictranslationinitiationfactor3subunitG(Fragment)OS=HomosapiensGN=EIF3GPE=1SV=1;tr|K7ER90|K7ER90_HUMANEukaryotictranslationinitiationfactor3subunitG(Fragment)OS=HomosapiensGN=EIF3GPE=1SV=1;tr|K7EL20|K7EL20_HUMANEukaryotictranslationinitiationfactor3subunitG(Fragment)OS=HomosapiensGN=EIF3GPE=1SV=8	25.68548116	28.81522113	34.68525019	26.79202307
sp|O75844|FACE1_HUMANCAAXprenylprotease1homologOS=HomosapiensGN=ZMPSTE24PE=1SV=2	43.79903204	45.59489739	44.41946415	44.67649044
sp|O75874|IDHC_HUMANIsocitratedehydrogenase[NADP]cytoplasmicOS=HomosapiensGN=IDH1PE=1SV=2;tr|C9J4N6|C9J4N6_HUMANIsocitratedehydrogenase[NADP]cytoplasmic(Fragment)OS=HomosapiensGN=IDH1PE=1SV=1;tr|C9JJE5|C9JJE5_HUMANIsocitratedehydrogenase[NADP]cytoplasmic(Fragment)OS=HomosapiensGN=IDH1PE=1SV=1;tr|C9JLU6|C9JLU6_HUMANIsocitratedehydrogenase[NADP]cytoplasmic(Fragment)OS=HomosapiensGN=IDH1PE=1SV=8	77.9780192	81.75832859	69.92736993	68.48833433
sp|O75915|PRAF3_HUMANPRA1familyprotein3OS=HomosapiensGN=ARL6IP5PE=1SV=1;tr|F8WF90|F8WF90_HUMANPRA1familyproteinOS=HomosapiensGN=ARL6IP5PE=1SV=1;tr|C9JQU6|C9JQU6_HUMANPRA1familyproteinOS=HomosapiensGN=ARL6IP5PE=1SV=1;tr|F8WF33|F8WF33_HUMANPRA1familyproteinOS=HomosapiensGN=ARL6IP5PE=1SV=1	27.43455835	25.57832628	29.36449641	27.20310279
sp|O76003|GLRX3_HUMANGlutaredoxin-3OS=HomosapiensGN=GLRX3PE=1SV=2	35.03053243	39.05229885	37.61409957	38.20336073
sp|O94804|STK10_HUMANSerine/threonine-proteinkinase10OS=HomosapiensGN=STK10PE=1SV=1;tr|H0YB71|H0YB71_HUMANSerine/threonine-proteinkinase10(Fragment)OS=HomosapiensGN=STK10PE=1SV=1	37.19254387	38.58764276	42.52152303	40.29489334
sp|O94905|ERLN2_HUMANErlin-2OS=HomosapiensGN=ERLIN2PE=1SV=1;tr|E5RHW4|E5RHW4_HUMANErlin-2(Fragment)OS=HomosapiensGN=ERLIN2PE=1SV=1;tr|E5RJ09|E5RJ09_HUMANErlin-2(Fragment)OS=HomosapiensGN=ERLIN2PE=1SV=1;tr|B0QZ43|B0QZ43_HUMANErlin-1(Fragment)OS=HomosapiensGN=ERLIN1PE=1SV=1;sp|O75477|ERLN1_HUMANErlin-1OS=HomosapiensGN=ERLIN1PE=1SV=1	71.57276523	76.99195189	63.62972472	58.62629984
sp|O94925|GLSK_HUMANGlutaminasekidneyisoform,mitochondrialOS=HomosapiensGN=GLSPE=1SV=1;tr|H7BZD1|H7BZD1_HUMANGlutaminasekidneyisoform,mitochondrial(Fragment)OS=HomosapiensGN=GLSPE=1SV=1;tr|C9JIJ6|C9JIJ6_HUMANGlutaminasekidneyisoform,mitochondrial(Fragment)OS=HomosapiensGN=GLSPE=1SV=1;tr|B7Z509|B7Z509_HUMANGlutaminasekidneyisoform,mitochondrialOS=HomosapiensGN=GLSPE=1SV=1	35.91335687	40.84262095	37.81208568	37.28823683
sp|O95373|IPO7_HUMANImportin-7OS=HomosapiensGN=IPO7PE=1SV=1;tr|E9PLB2|E9PLB2_HUMANImportin-7(Fragment)OS=HomosapiensGN=IPO7PE=1SV=8;tr|E9PLJ0|E9PLJ0_HUMANImportin-7OS=HomosapiensGN=IPO7PE=1SV=1	37.82756091	36.68828946	38.04374369	42.16867012
sp|O95466|FMNL1_HUMANFormin-likeprotein1OS=HomosapiensGN=FMNL1PE=1SV=3;tr|K7EK60|K7EK60_HUMANFormin-likeprotein1OS=HomosapiensGN=FMNL1PE=1SV=1;tr|A0A0A0MR62|A0A0A0MR62_HUMANFormin-likeprotein1OS=HomosapiensGN=FMNL1PE=1SV=1;tr|K7EJE6|K7EJE6_HUMANFormin-likeprotein1(Fragment)OS=HomosapiensGN=FMNL1PE=1SV=1	40.21668814	40.8383069	51.50070489	53.04310241
sp|P00338|LDHA_HUMANL-lactatedehydrogenaseAchainOS=HomosapiensGN=LDHAPE=1SV=2;tr|F5GYU2|F5GYU2_HUMANL-lactatedehydrogenaseAchain(Fragment)OS=HomosapiensGN=LDHAPE=1SV=1;tr|F5GXY2|F5GXY2_HUMANL-lactatedehydrogenaseAchain(Fragment)OS=HomosapiensGN=LDHAPE=1SV=8;tr|F5GXH2|F5GXH2_HUMANL-lactatedehydrogenaseAchain(Fragment)OS=HomosapiensGN=LDHAPE=1SV=1;tr|F5H5J4|F5H5J4_HUMANL-lactatedehydrogenaseAchainOS=HomosapiensGN=LDHAPE=1SV=1;tr|F5H6W8|F5H6W8_HUMANL-lactatedehydrogenaseAchainOS=HomosapiensGN=LDHAPE=1SV=1;tr|F5GZQ4|F5GZQ4_HUMANL-lactatedehydrogenaseAchain(Fragment)OS=HomosapiensGN=LDHAPE=1SV=1;tr|F5H8H6|F5H8H6_HUMANL-lactatedehydrogenaseAchainOS=HomosapiensGN=LDHAPE=1SV=1;tr|F5GXC7|F5GXC7_HUMANL-lactatedehydrogenaseAchainOS=HomosapiensGN=LDHAPE=1SV=1;tr|F5GWW2|F5GWW2_HUMANL-lactatedehydrogenaseAchainOS=HomosapiensGN=LDHAPE=1SV=1;tr|F5GXU1|F5GXU1_HUMANL-lactatedehydrogenaseAchainOS=HomosapiensGN=LDHAPE=1SV=1	49.17751735	51.42681357	53.42562213	53.61521831
sp|P00367|DHE3_HUMANGlutamatedehydrogenase1,mitochondrialOS=HomosapiensGN=GLUD1PE=1SV=2	62.31893865	61.38380907	56.91146349	55.2599203
sp|P00390|GSHR_HUMANGlutathionereductase,mitochondrialOS=HomosapiensGN=GSRPE=1SV=2;tr|E5RI06|E5RI06_HUMANGlutathionereductase,mitochondrial(Fragment)OS=HomosapiensGN=GSRPE=1SV=8;tr|H0YC68|H0YC68_HUMANGlutathionereductase,mitochondrial(Fragment)OS=HomosapiensGN=GSRPE=1SV=1	53.41080281	51.69023498	56.76140517	50.98386228
sp|P00491|PNPH_HUMANPurinenucleosidephosphorylaseOS=HomosapiensGN=PNPPE=1SV=2;tr|G3V5M2|G3V5M2_HUMANPurinenucleosidephosphorylase(Fragment)OS=HomosapiensGN=PNPPE=1SV=1;tr|G3V2H3|G3V2H3_HUMANPurinenucleosidephosphorylase(Fragment)OS=HomosapiensGN=PNPPE=1SV=1;tr|G3V393|G3V393_HUMANPurinenucleosidephosphorylase(Fragment)OS=HomosapiensGN=PNPPE=1SV=1	101.5106206	97.626961	94.33884401	91.22501539
sp|P00558|PGK1_HUMANPhosphoglyceratekinase1OS=HomosapiensGN=PGK1PE=1SV=3;sp|P07205|PGK2_HUMANPhosphoglyceratekinase2OS=HomosapiensGN=PGK2PE=1SV=3	53.49508709	55.74422821	56.26059993	56.32628661
sp|P00568|KAD1_HUMANAdenylatekinaseisoenzyme1OS=HomosapiensGN=AK1PE=1SV=3;tr|Q5T9B7|Q5T9B7_HUMANAdenylatekinaseisoenzyme1OS=HomosapiensGN=AK1PE=1SV=1;tr|H0Y4J6|H0Y4J6_HUMANAdenylatekinaseisoenzyme1(Fragment)OS=HomosapiensGN=AK1PE=1SV=1;tr|H0YID2|H0YID2_HUMANAdenylatekinaseisoenzyme1(Fragment)OS=HomosapiensGN=AK1PE=1SV=1;sp|Q9Y6K8|KAD5_HUMANAdenylatekinaseisoenzyme5OS=HomosapiensGN=AK5PE=1SV=2	42.60347356	42.98581232	39.56464366	40.35055084
sp|P01137|TGFB1_HUMANTransforminggrowthfactorbeta-1OS=HomosapiensGN=TGFB1PE=1SV=2;tr|M0R2S0|M0R2S0_HUMANTransforminggrowthfactorbeta-1(Fragment)OS=HomosapiensGN=TGFB1PE=1SV=1	19.66121157	18.35241152	18.37243241	16.41633299
