ID	Comp.1.halflife	Comp.2.halflife	Uninfected.1.halflife	Uninfected.2.halflife
sp|P04075|ALDOA_HUMANFructose-bisphosphatealdolaseAOS=HomosapiensGN=ALDOAPE=1SV=2;tr|J3KPS3|J3KPS3_HUMANFructose-bisphosphatealdolaseOS=HomosapiensGN=ALDOAPE=1SV=1;tr|H3BQN4|H3BQN4_HUMANFructose-bisphosphatealdolaseOS=HomosapiensGN=ALDOAPE=1SV=1;tr|H3BPS8|H3BPS8_HUMANFructose-bisphosphatealdolaseA(Fragment)OS=HomosapiensGN=ALDOAPE=1SV=1;tr|H3BUH7|H3BUH7_HUMANFructose-bisphosphatealdolaseA(Fragment)OS=HomosapiensGN=ALDOAPE=1SV=1;tr|H3BR04|H3BR04_HUMANFructose-bisphosphatealdolaseA(Fragment)OS=HomosapiensGN=ALDOAPE=1SV=1;tr|H3BMQ8|H3BMQ8_HUMANFructose-bisphosphatealdolaseA(Fragment)OS=HomosapiensGN=ALDOAPE=1SV=1;tr|H3BU78|H3BU78_HUMANFructose-bisphosphatealdolase(Fragment)OS=HomosapiensGN=ALDOAPE=1SV=2;tr|H3BR68|H3BR68_HUMANFructose-bisphosphatealdolaseA(Fragment)OS=HomosapiensGN=ALDOAPE=1SV=1;tr|A0A087WXX2|A0A087WXX2_HUMANFructose-bisphosphatealdolaseOS=HomosapiensGN=ALDOBPE=1SV=1;sp|P05062|ALDOB_HUMANFructose-bisphosphatealdolaseBOS=HomosapiensGN=ALDOBPE=1SV=2	54.46288904	54.38739158	53.92747563	55.91015338
sp|P04181|OAT_HUMANOrnithineaminotransferase,mitochondrialOS=HomosapiensGN=OATPE=1SV=1	11.42478061	14.82596558	11.7419743	15.72268672
sp|P04843|RPN1_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit1OS=HomosapiensGN=RPN1PE=1SV=1;tr|B7Z4L4|B7Z4L4_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit1OS=HomosapiensGN=RPN1PE=1SV=1;tr|F8WF32|F8WF32_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit1OS=HomosapiensGN=RPN1PE=1SV=1	52.55586533	50.02585325	48.31053211	50.84613674
sp|P04844|RPN2_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit2OS=HomosapiensGN=RPN2PE=1SV=3;tr|Q5JYR4|Q5JYR4_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit2(Fragment)OS=HomosapiensGN=RPN2PE=1SV=8;tr|Q5JYR7|Q5JYR7_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit2(Fragment)OS=HomosapiensGN=RPN2PE=1SV=8;tr|F2Z3K5|F2Z3K5_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit2(Fragment)OS=HomosapiensGN=RPN2PE=1SV=1;tr|H0Y5M1|H0Y5M1_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit2(Fragment)OS=HomosapiensGN=RPN2PE=1SV=1;tr|Q5JYR3|Q5JYR3_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit2(Fragment)OS=HomosapiensGN=RPN2PE=1SV=1	54.49404803	55.22447708	58.699377	61.10251239
sp|P05023|AT1A1_HUMANSodium/potassium-transportingATPasesubunitalpha-1OS=HomosapiensGN=ATP1A1PE=1SV=1;tr|M0R116|M0R116_HUMANSodium/potassium-transportingATPasesubunitalphaOS=HomosapiensGN=ATP1A3PE=1SV=1;sp|P13637|AT1A3_HUMANSodium/potassium-transportingATPasesubunitalpha-3OS=HomosapiensGN=ATP1A3PE=1SV=3;tr|A0A0A0MT26|A0A0A0MT26_HUMANSodium/potassium-transportingATPasesubunitalpha-3OS=HomosapiensGN=ATP1A3PE=1SV=1;tr|B1AKY9|B1AKY9_HUMANSodium/potassium-transportingATPasesubunitalphaOS=HomosapiensGN=ATP1A2PE=1SV=1;sp|P50993|AT1A2_HUMANSodium/potassium-transportingATPasesubunitalpha-2OS=HomosapiensGN=ATP1A2PE=1SV=1;tr|H0Y7C1|H0Y7C1_HUMANSodium/potassium-transportingATPasesubunitalpha(Fragment)OS=HomosapiensGN=ATP1A2PE=1SV=1;sp|Q13733|AT1A4_HUMANSodium/potassium-transportingATPasesubunitalpha-4OS=HomosapiensGN=ATP1A4PE=1SV=3;tr|Q5TC01|Q5TC01_HUMANSodium/potassium-transportingATPasesubunitalpha-1(Fragment)OS=HomosapiensGN=ATP1A1PE=1SV=1;tr|Q5TC02|Q5TC02_HUMANSodium/potassium-transportingATPasesubunitalpha-1(Fragment)OS=HomosapiensGN=ATP1A1PE=1SV=1;tr|E9PRA5|E9PRA5_HUMANSodium/potassium-transportingATPasesubunitalpha-4OS=HomosapiensGN=ATP1A4PE=1SV=1;sp|P20648|ATP4A_HUMANPotassium-transportingATPasealphachain1OS=HomosapiensGN=ATP4APE=2SV=5;tr|M0QXF2|M0QXF2_HUMANSodium/potassium-transportingATPasesubunitalpha-3(Fragment)OS=HomosapiensGN=ATP1A3PE=1SV=2;tr|Q5TC05|Q5TC05_HUMANSodium/potassium-transportingATPasesubunitalpha-1(Fragment)OS=HomosapiensGN=ATP1A1PE=1SV=1	28.01290115	29.65079804	28.13232055	28.70855352
sp|P05388|RLA0_HUMAN60SacidicribosomalproteinP0OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VWS0|F8VWS0_HUMAN60SacidicribosomalproteinP0OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VU65|F8VU65_HUMAN60SacidicribosomalproteinP0(Fragment)OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VPE8|F8VPE8_HUMAN60SacidicribosomalproteinP0(Fragment)OS=HomosapiensGN=RPLP0PE=1SV=1;tr|G3V210|G3V210_HUMAN60SacidicribosomalproteinP0OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VW21|F8VW21_HUMAN60SacidicribosomalproteinP0(Fragment)OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VQY6|F8VQY6_HUMAN60SacidicribosomalproteinP0OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VRK7|F8VRK7_HUMAN60SacidicribosomalproteinP0OS=HomosapiensGN=RPLP0PE=1SV=1;sp|Q8NHW5|RLA0L_HUMAN60SacidicribosomalproteinP0-likeOS=HomosapiensGN=RPLP0P6PE=5SV=1;tr|F8VZS0|F8VZS0_HUMAN60SacidicribosomalproteinP0(Fragment)OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VWV4|F8VWV4_HUMAN60SacidicribosomalproteinP0(Fragment)OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VS58|F8VS58_HUMAN60SacidicribosomalproteinP0(Fragment)OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8W1K8|F8W1K8_HUMAN60SacidicribosomalproteinP0OS=HomosapiensGN=RPLP0PE=1SV=1	68.53583311	74.57138423	67.15532796	69.68835235
sp|P06576|ATPB_HUMANATPsynthasesubunitbeta,mitochondrialOS=HomosapiensGN=ATP5BPE=1SV=3;tr|H0YH81|H0YH81_HUMANATPsynthasesubunitbeta(Fragment)OS=HomosapiensGN=ATP5BPE=1SV=1;tr|F8W079|F8W079_HUMANATPsynthasesubunitbeta,mitochondrial(Fragment)OS=HomosapiensGN=ATP5BPE=1SV=1;tr|F8W0P7|F8W0P7_HUMANATPsynthasesubunitbeta,mitochondrial(Fragment)OS=HomosapiensGN=ATP5BPE=1SV=2;tr|H0YI37|H0YI37_HUMANATPsynthasesubunitbeta,mitochondrial(Fragment)OS=HomosapiensGN=ATP5BPE=1SV=1	61.14499621	63.89932094	59.18341326	61.34450554
sp|P06733|ENOA_HUMANAlpha-enolaseOS=HomosapiensGN=ENO1PE=1SV=2;tr|K7EM90|K7EM90_HUMANAlpha-enolase(Fragment)OS=HomosapiensGN=ENO1PE=1SV=1;sp|P13929|ENOB_HUMANBeta-enolaseOS=HomosapiensGN=ENO3PE=1SV=5;tr|E5RI09|E5RI09_HUMANBeta-enolase(Fragment)OS=HomosapiensGN=ENO3PE=1SV=1;tr|E5RG95|E5RG95_HUMANBeta-enolase(Fragment)OS=HomosapiensGN=ENO3PE=1SV=1;tr|K7EPM1|K7EPM1_HUMANBeta-enolase(Fragment)OS=HomosapiensGN=ENO3PE=1SV=1;tr|K7EKN2|K7EKN2_HUMANBeta-enolase(Fragment)OS=HomosapiensGN=ENO3PE=1SV=1;tr|E5RGZ4|E5RGZ4_HUMANBeta-enolase(Fragment)OS=HomosapiensGN=ENO3PE=1SV=1	66.24990025	67.35149294	66.44922809	67.37967687
sp|P06744|G6PI_HUMANGlucose-6-phosphateisomeraseOS=HomosapiensGN=GPIPE=1SV=4;tr|A0A0A0MTS2|A0A0A0MTS2_HUMANGlucose-6-phosphateisomerase(Fragment)OS=HomosapiensGN=GPIPE=1SV=1;tr|K7EQ48|K7EQ48_HUMANGlucose-6-phosphateisomeraseOS=HomosapiensGN=GPIPE=1SV=2;tr|A0A0J9YXP8|A0A0J9YXP8_HUMANGlucose-6-phosphateisomerase(Fragment)OS=HomosapiensGN=GPIPE=1SV=1;tr|A0A0J9YX90|A0A0J9YX90_HUMANGlucose-6-phosphateisomerase(Fragment)OS=HomosapiensGN=GPIPE=1SV=1;tr|A0A0J9YYH3|A0A0J9YYH3_HUMANGlucose-6-phosphateisomerase(Fragment)OS=HomosapiensGN=GPIPE=1SV=1;tr|K7EPY4|K7EPY4_HUMANGlucose-6-phosphateisomerase(Fragment)OS=HomosapiensGN=GPIPE=1SV=8;tr|K7EP41|K7EP41_HUMANGlucose-6-phosphateisomerase(Fragment)OS=HomosapiensGN=GPIPE=1SV=1;tr|K7ELR7|K7ELR7_HUMANGlucose-6-phosphateisomerase(Fragment)OS=HomosapiensGN=GPIPE=1SV=1;tr|K7ENA0|K7ENA0_HUMANGlucose-6-phosphateisomerase(Fragment)OS=HomosapiensGN=GPIPE=1SV=8;CON__Q3ZBD7;tr|K7ERC6|K7ERC6_HUMANGlucose-6-phosphateisomerase(Fragment)OS=HomosapiensGN=GPIPE=1SV=8;tr|K7ERK8|K7ERK8_HUMANGlucose-6-phosphateisomerase(Fragment)OS=HomosapiensGN=GPIPE=1SV=1;tr|K7EIL4|K7EIL4_HUMANGlucose-6-phosphateisomerase(Fragment)OS=HomosapiensGN=GPIPE=1SV=1;tr|K7ESF4|K7ESF4_HUMANUncharacterizedprotein(Fragment)OS=HomosapiensPE=4SV=1;sp|Q8N196|SIX5_HUMANHomeoboxproteinSIX5OS=HomosapiensGN=SIX5PE=1SV=3	47.05786733	47.38557429	46.46087501	46.86404254
sp|P07237|PDIA1_HUMANProteindisulfide-isomeraseOS=HomosapiensGN=P4HBPE=1SV=3;tr|H7BZ94|H7BZ94_HUMANProteindisulfide-isomeraseOS=HomosapiensGN=P4HBPE=1SV=2;tr|I3L398|I3L398_HUMANProteindisulfide-isomerase(Fragment)OS=HomosapiensGN=P4HBPE=1SV=1;tr|H0Y3Z3|H0Y3Z3_HUMANProteindisulfide-isomerase(Fragment)OS=HomosapiensGN=P4HBPE=1SV=1;tr|I3L312|I3L312_HUMANProteindisulfide-isomerase(Fragment)OS=HomosapiensGN=P4HBPE=1SV=2;tr|I3L4M2|I3L4M2_HUMANProteindisulfide-isomerase(Fragment)OS=HomosapiensGN=P4HBPE=1SV=1;tr|I3NI03|I3NI03_HUMANProteindisulfide-isomerase(Fragment)OS=HomosapiensGN=P4HBPE=1SV=1;tr|I3L0S0|I3L0S0_HUMANProteindisulfide-isomerase(Fragment)OS=HomosapiensGN=P4HBPE=1SV=1;tr|I3L3U6|I3L3U6_HUMANProteindisulfide-isomerase(Fragment)OS=HomosapiensGN=P4HBPE=1SV=1;tr|I3L3P5|I3L3P5_HUMANProteindisulfide-isomerase(Fragment)OS=HomosapiensGN=P4HBPE=1SV=1;tr|I3L514|I3L514_HUMANProteindisulfide-isomeraseOS=HomosapiensGN=P4HBPE=1SV=1;tr|I3L1Y5|I3L1Y5_HUMANProteindisulfide-isomeraseOS=HomosapiensGN=P4HBPE=1SV=1	57.27662288	57.55736831	56.70707576	59.06990087
sp|P07737|PROF1_HUMANProfilin-1OS=HomosapiensGN=PFN1PE=1SV=2;tr|K7EJ44|K7EJ44_HUMANProfilinOS=HomosapiensGN=PFN1PE=1SV=1;CON__P02584;tr|I3L3D5|I3L3D5_HUMANProfilin(Fragment)OS=HomosapiensGN=PFN1PE=1SV=1	71.85952186	70.82663617	66.10115622	72.49357768
sp|P07814|SYEP_HUMANBifunctionalglutamate/proline--tRNAligaseOS=HomosapiensGN=EPRSPE=1SV=5;tr|V9GYZ6|V9GYZ6_HUMANBifunctionalglutamate/proline--tRNAligase(Fragment)OS=HomosapiensGN=EPRSPE=1SV=1;tr|V9GZ76|V9GZ76_HUMANBifunctionalglutamate/proline--tRNAligaseOS=HomosapiensGN=EPRSPE=1SV=1	38.88641211	43.29000441	37.49444774	37.36832183
