Protein IDs	CDC1551-1.count	CDC1551-1.rsq	CDC1551-1.kdp	CDC1551-1.halflife	CDC1551-1.count.z	CDC1551-1.rsq.z	CDC1551-1.kdp.z	CDC1551-1.halflife.z	CDC1551-2.count	CDC1551-2.rsq	CDC1551-2.kdp	CDC1551-2.halflife	CDC1551-2.count.z	CDC1551-2.rsq.z	CDC1551-2.kdp.z	CDC1551-2.halflife.z	dPPE38-1.count	dPPE38-1.rsq	dPPE38-1.kdp	dPPE38-1.halflife	dPPE38-1.count.z	dPPE38-1.rsq.z	dPPE38-1.kdp.z	dPPE38-1.halflife.z	dPPE38-2.count	dPPE38-2.rsq	dPPE38-2.kdp	dPPE38-2.halflife	dPPE38-2.count.z	dPPE38-2.rsq.z	dPPE38-2.kdp.z	dPPE38-2.halflife.z	Comp-1.count	Comp-1.rsq	Comp-1.kdp	Comp-1.halflife	Comp-1.count.z	Comp-1.rsq.z	Comp-1.kdp.z	Comp-1.halflife.z	Comp-2.count	Comp-2.rsq	Comp-2.kdp	Comp-2.halflife	Comp-2.count.z	Comp-2.rsq.z	Comp-2.kdp.z	Comp-2.halflife.z	Uninfected-1.count	Uninfected-1.rsq	Uninfected-1.kdp	Uninfected-1.halflife	Uninfected-1.count.z	Uninfected-1.rsq.z	Uninfected-1.kdp.z	Uninfected-1.halflife.z	Uninfected-2.count	Uninfected-2.rsq	Uninfected-2.kdp	Uninfected-2.halflife	Uninfected-2.count.z	Uninfected-2.rsq.z	Uninfected-2.kdp.z	Uninfected-2.halflife.z
sp|O00160|MYO1F_HUMANUnconventionalmyosin-IfOS=HomosapiensGN=MYO1FPE=1SV=3;tr|M0QXU2|M0QXU2_HUMANUnconventionalmyosin-If(Fragment)OS=HomosapiensGN=MYO1FPE=1SV=1	2	1	0.020092657	34.49753682	3	0.956818496	0.020092657	34.49753682	1	NaN	0.020044579	34.58028206	2	1	0.020044579	34.58028206	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	1	NaN	0.019308134	35.89923262	2	1	0.019308134	35.89923262	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|O00170|AIP_HUMANAHreceptor-interactingproteinOS=HomosapiensGN=AIPPE=1SV=2;tr|E9PMH2|E9PMH2_HUMANPeptidylprolylisomerase(Fragment)OS=HomosapiensGN=AIPPE=1SV=2;tr|V9GYQ3|V9GYQ3_HUMANAHreceptor-interactingprotein(Fragment)OS=HomosapiensGN=AIPPE=1SV=1	2	1	0.026104161	26.5531299	3	0.970864151	0.026104161	26.5531299	4	0.960650435	0.022614046	30.65117977	5	0.955728472	0.022614046	30.65117977	1	NaN	0.018902657	36.6692991	2	1	0.018902657	36.6692991	4	0.943855368	0.022061326	31.41910847	5	0.96718375	0.022061326	31.41910847	3	0.879409335	0.018906966	36.66094244	4	0.891551349	0.018906966	36.66094244	2	1	0.023284918	29.76807425	3	0.988114233	0.023284918	29.76807425	3	0.984401485	0.025623482	27.05124827	4	0.991440763	0.025623482	27.05124827	4	0.765890799	0.028835525	24.03795916	5	0.832250948	0.028835525	24.03795916
sp|O00178|GTPB1_HUMANGTP-bindingprotein1OS=HomosapiensGN=GTPBP1PE=1SV=3	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|O00182|LEG9_HUMANGalectin-9OS=HomosapiensGN=LGALS9PE=1SV=2;tr|J3KSY2|J3KSY2_HUMANGalectinOS=HomosapiensGN=LGALS9CPE=4SV=1;sp|Q6DKI2|LEG9C_HUMANGalectin-9COS=HomosapiensGN=LGALS9CPE=1SV=2;sp|Q3B8N2|LEG9B_HUMANGalectin-9BOS=HomosapiensGN=LGALS9BPE=1SV=3;tr|J3QS92|J3QS92_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9PE=1SV=1;tr|J3KSA0|J3KSA0_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9PE=1SV=1;tr|J3QSH0|J3QSH0_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9CPE=4SV=1;tr|J3KS82|J3KS82_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9PE=1SV=1;tr|J3KT17|J3KT17_HUMANGalectinOS=HomosapiensGN=LGALS9CPE=4SV=1;tr|J3QR96|J3QR96_HUMANGalectinOS=HomosapiensGN=LGALS9CPE=4SV=1	4	0.994630196	0.028842494	24.03215119	5	0.984959711	0.028842494	24.03215119	5	0.985724944	0.028069776	24.69371997	6	0.9889857	0.028069776	24.69371997	5	0.972910476	0.025308004	27.38845734	6	0.981108411	0.025308004	27.38845734	5	0.985794311	0.025384248	27.30619343	6	0.990061378	0.025384248	27.30619343	5	0.99512382	0.025793841	26.8725851	6	0.994345197	0.025793841	26.8725851	5	0.960058617	0.025452664	27.23279517	6	0.972679271	0.025452664	27.23279517	4	0.986312988	0.025144355	27.56671151	5	0.9930149	0.025144355	27.56671151	4	0.801205099	0.024107402	28.75246279	5	0.887228477	0.024107402	28.75246279
sp|O00186|STXB3_HUMANSyntaxin-bindingprotein3OS=HomosapiensGN=STXBP3PE=1SV=2	4	0.708817994	0.026550176	26.10706576	5	0.807668069	0.026550176	26.10706576	1	NaN	0.035825878	19.34766766	2	1	0.035825878	19.34766766	1	NaN	0.067279582	10.30248942	2	1	0.067279582	10.30248942	2	1	0.025298944	27.39826581	3	0.9037175	0.025298944	27.39826581	4	0.345508033	0.024268116	28.56205196	5	0.662705187	0.024268116	28.56205196	2	1	0.024854664	27.88801291	3	0.868403662	0.024854664	27.88801291	3	0.999747904	0.022203323	31.21817373	4	0.925322492	0.022203323	31.21817373	2	1	0.041174564	16.83435394	3	0.991173716	0.041174564	16.83435394
sp|O00203|AP3B1_HUMANAP-3complexsubunitbeta-1OS=HomosapiensGN=AP3B1PE=1SV=3;tr|F5GWU4|F5GWU4_HUMANAP-3complexsubunitbeta-2(Fragment)OS=HomosapiensGN=AP3B2PE=1SV=1;sp|Q13367|AP3B2_HUMANAP-3complexsubunitbeta-2OS=HomosapiensGN=AP3B2PE=1SV=2;tr|F5GYB0|F5GYB0_HUMANAP-3complexsubunitbeta-2OS=HomosapiensGN=AP3B2PE=1SV=1	3	0.998520503	0.014782952	46.88827779	4	0.99951466	0.014782952	46.88827779	4	0.985632933	0.014201949	48.80648442	5	0.991192625	0.014201949	48.80648442	3	0.99938553	0.015503153	44.71007678	4	0.992345414	0.015503153	44.71007678	2	1	0.015480339	44.77596979	3	0.999856808	0.015480339	44.77596979	3	0.989963557	0.015451951	44.85823116	4	0.993013302	0.015451951	44.85823116	3	0.995941577	0.015127216	45.82119854	4	0.995667947	0.015127216	45.82119854	5	0.974593752	0.017307823	40.04820051	6	0.967049987	0.017307823	40.04820051	3	0.794335053	0.014035003	49.38703605	4	0.888908556	0.014035003	49.38703605
sp|O00231|PSD11_HUMAN26Sproteasomenon-ATPaseregulatorysubunit11OS=HomosapiensGN=PSMD11PE=1SV=3;tr|J3QRY4|J3QRY4_HUMAN26Sproteasomenon-ATPaseregulatorysubunit11(Fragment)OS=HomosapiensGN=PSMD11PE=1SV=8;tr|J3QS13|J3QS13_HUMAN26Sproteasomenon-ATPaseregulatorysubunit11(Fragment)OS=HomosapiensGN=PSMD11PE=1SV=1;tr|J3KSW3|J3KSW3_HUMAN26Sproteasomenon-ATPaseregulatorysubunit11(Fragment)OS=HomosapiensGN=PSMD11PE=1SV=1	5	0.837966322	0.017128353	40.46782433	6	0.863532038	0.017128353	40.46782433	5	0.758759981	0.013826058	50.13339321	6	0.722029327	0.013826058	50.13339321	5	0.208654132	0.015593515	44.4509911	6	0.438660897	0.015593515	44.4509911	5	0.006395394	0.017228833	40.23181236	6	0.269393974	0.017228833	40.23181236	5	0.704508767	0.0147479	46.99972212	6	0.762365885	0.0147479	46.99972212	5	0.758741348	0.015454645	44.8504097	6	0.802413887	0.015454645	44.8504097	5	0.806535437	0.014439469	48.00364661	6	0.830871626	0.014439469	48.00364661	5	0.529888853	0.013748276	50.41702503	6	0.644371281	0.013748276	50.41702503
sp|O00232|PSD12_HUMAN26Sproteasomenon-ATPaseregulatorysubunit12OS=HomosapiensGN=PSMD12PE=1SV=3;tr|J3KTJ5|J3KTJ5_HUMAN26Sproteasomenon-ATPaseregulatorysubunit12OS=HomosapiensGN=PSMD12PE=1SV=1;tr|J3KSK1|J3KSK1_HUMAN26Sproteasomenon-ATPaseregulatorysubunit12OS=HomosapiensGN=PSMD12PE=1SV=1	3	0.926601517	0.01017051	68.15264842	4	0.955930925	0.01017051	68.15264842	4	0.930795004	0.01002583	69.13613672	5	0.951877366	0.01002583	69.13613672	3	0.997926	0.01023053	67.75281243	4	0.994663416	0.01023053	67.75281243	3	0.94711306	0.010170818	68.15058519	4	0.867003447	0.010170818	68.15058519	3	0.838702417	0.00971829	71.32398947	4	0.872992475	0.00971829	71.32398947	2	1	0.011815846	58.66251202	3	0.469663973	0.011815846	58.66251202	5	0.557343662	0.010769879	64.35979307	6	0.675033122	0.010769879	64.35979307	2	1	0.009505303	72.92215257	3	0.652103022	0.009505303	72.92215257
sp|O00264|PGRC1_HUMANMembrane-associatedprogesteronereceptorcomponent1OS=HomosapiensGN=PGRMC1PE=1SV=3	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|O00299|CLIC1_HUMANChlorideintracellularchannelprotein1OS=HomosapiensGN=CLIC1PE=1SV=4	5	0.992248265	0.012769333	54.28217761	6	0.993355785	0.012769333	54.28217761	5	0.994498195	0.012337141	56.18377633	6	0.99415616	0.012337141	56.18377633	5	0.969491759	0.012186611	56.87776523	6	0.978378137	0.012186611	56.87776523	5	0.984713127	0.011707995	59.20289428	6	0.98804612	0.011707995	59.20289428	5	0.987949819	0.012678186	54.67242412	6	0.991728663	0.012678186	54.67242412	5	0.98026694	0.01260084	55.00801548	6	0.98635492	0.01260084	55.00801548	5	0.997235794	0.01205703	57.48904823	6	0.996025418	0.01205703	57.48904823	5	0.673963262	0.011702566	59.23035641	6	0.777210385	0.011702566	59.23035641
sp|O00303|EIF3F_HUMANEukaryotictranslationinitiationfactor3subunitFOS=HomosapiensGN=EIF3FPE=1SV=1;tr|H0YDT6|H0YDT6_HUMANEukaryotictranslationinitiationfactor3subunitF(Fragment)OS=HomosapiensGN=EIF3FPE=1SV=1;tr|A0A0D9SEZ9|A0A0D9SEZ9_HUMANEukaryotictranslationinitiationfactor3subunitFOS=HomosapiensGN=EIF3FPE=3SV=1;tr|E9PQV8|E9PQV8_HUMANEukaryotictranslationinitiationfactor3subunitFOS=HomosapiensGN=EIF3FPE=1SV=1	5	0.954359024	0.017850722	38.83020463	6	0.945945812	0.017850722	38.83020463	5	0.988407201	0.017246441	40.19073683	6	0.980518264	0.017246441	40.19073683	5	0.952703452	0.015818856	43.81778247	6	0.959226419	0.015818856	43.81778247	5	0.900105277	0.016925421	40.9530236	6	0.917492343	0.016925421	40.9530236	5	0.990696993	0.015588228	44.4660651	6	0.983642475	0.015588228	44.4660651	5	0.979856537	0.015200849	45.59924074	6	0.969605898	0.015200849	45.59924074	5	0.934173247	0.016506648	41.99200166	6	0.917580189	0.016506648	41.99200166	5	0.071177055	0.018308392	37.8595331	6	0.300388881	0.018308392	37.8595331
sp|O00391|QSOX1_HUMANSulfhydryloxidase1OS=HomosapiensGN=QSOX1PE=1SV=3;tr|A8MXT8|A8MXT8_HUMANSulfhydryloxidase1OS=HomosapiensGN=QSOX1PE=1SV=2	0	NaN	NaN	NaN	1	NaN	0	NaN	1	NaN	0.099418711	6.971999294	2	1	0.099418711	6.971999294	1	NaN	0.036368031	19.05924425	2	1	0.036368031	19.05924425	1	NaN	0.013171469	52.62489674	2	1	0.013171469	52.62489674	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|O00410|IPO5_HUMANImportin-5OS=HomosapiensGN=IPO5PE=1SV=4;tr|H0Y8C6|H0Y8C6_HUMANImportin-5(Fragment)OS=HomosapiensGN=IPO5PE=1SV=1;tr|C9JMV5|C9JMV5_HUMANImportin-5(Fragment)OS=HomosapiensGN=IPO5PE=1SV=1;tr|E7ETV3|E7ETV3_HUMANImportin-5(Fragment)OS=HomosapiensGN=IPO5PE=1SV=1;tr|H0Y3V4|H0Y3V4_HUMANImportin-5(Fragment)OS=HomosapiensGN=IPO5PE=1SV=1;tr|C9JZD8|C9JZD8_HUMANImportin-5(Fragment)OS=HomosapiensGN=IPO5PE=1SV=1;tr|C9JQT6|C9JQT6_HUMANImportin-5(Fragment)OS=HomosapiensGN=IPO5PE=1SV=1;tr|E7ESA1|E7ESA1_HUMANImportin-5(Fragment)OS=HomosapiensGN=IPO5PE=1SV=1;tr|E7ESZ1|E7ESZ1_HUMANImportin-5(Fragment)OS=HomosapiensGN=IPO5PE=1SV=1;tr|E7EWK4|E7EWK4_HUMANImportin-5(Fragment)OS=HomosapiensGN=IPO5PE=1SV=1;tr|E7EX05|E7EX05_HUMANImportin-5(Fragment)OS=HomosapiensGN=IPO5PE=1SV=1;tr|E7EQT5|E7EQT5_HUMANImportin-5OS=HomosapiensGN=IPO5PE=1SV=1;tr|E7ETV8|E7ETV8_HUMANImportin-5(Fragment)OS=HomosapiensGN=IPO5PE=1SV=8;tr|E7EV12|E7EV12_HUMANImportin-5(Fragment)OS=HomosapiensGN=IPO5PE=1SV=1;tr|C9J875|C9J875_HUMANImportin-5(Fragment)OS=HomosapiensGN=IPO5PE=1SV=1;tr|C9JZ53|C9JZ53_HUMANImportin-5(Fragment)OS=HomosapiensGN=IPO5PE=1SV=1;sp|O60518|RNBP6_HUMANRan-bindingprotein6OS=HomosapiensGN=RANBP6PE=1SV=2	2	1	0.015198377	45.60665756	3	0.999684239	0.015198377	45.60665756	2	1	0.013223389	52.41827166	3	0.994055217	0.013223389	52.41827166	4	0.803427684	0.01539849	45.0139701	5	0.839250329	0.01539849	45.0139701	3	0.990750578	0.012955587	53.50179789	4	0.983713601	0.012955587	53.50179789	1	NaN	0.014200166	48.81260939	2	1	0.014200166	48.81260939	3	0.926533409	0.013714194	50.54231931	4	0.937892782	0.013714194	50.54231931	4	0.351704748	0.016369487	42.34385576	5	0.600861711	0.016369487	42.34385576	4	0.672195351	0.015730196	44.06475287	5	0.767046955	0.015730196	44.06475287
